3.34701e+01	3.70480e+01	2.82487e-04	7	27
3.02152e+01	4.10389e+01	5.18818e-04	7	30
2.97424e+01	4.16913e+01	1.21845e-04	7	31
2.88781e+01	4.29391e+01	8.14869e-04	7	33
2.33366e+01	5.31353e+01	3.80429e-05	7	35
8.39092e+02	1.47779e+00	3.34375e-01	8	10
6.47959e+02	1.91370e+00	1.31364e-03	8	12
7.93486e+01	1.56272e+01	1.73996e-03	8	16
6.78264e+01	1.82820e+01	2.45027e-01	8	19
6.55227e+01	1.89247e+01	2.81032e-05	8	20
6.14638e+01	2.01745e+01	3.69114e-04	8	22
4.63207e+01	2.67699e+01	7.01427e-05	8	24
3.83860e+01	3.23035e+01	1.82594e-05	8	25
3.62002e+01	3.42540e+01	1.09943e-04	8	26
3.11414e+01	3.98184e+01	2.83778e-05	8	28
3.08866e+01	4.01468e+01	4.04272e-04	8	29
2.94959e+01	4.20398e+01	2.71067e-04	8	32
2.90845e+01	4.26343e+01	1.83780e-07	8	34
1.46014e+03	8.49232e-01	1.07290e-01	9	10
9.64870e+02	1.28515e+00	9.45187e-01	9	12
8.26739e+01	1.49987e+01	6.47374e-05	9	16
7.02414e+01	1.76534e+01	2.66116e-05	9	19
6.77737e+01	1.82962e+01	3.26899e-01	9	20
6.34404e+01	1.95459e+01	8.84592e-04	9	22
4.74345e+01	2.61413e+01	1.34905e-03	9	24
3.91477e+01	3.16749e+01	1.93737e-03	9	25
3.68769e+01	3.36254e+01	6.48827e-07	9	26
3.16408e+01	3.91898e+01	1.14987e-06	9	28
3.13779e+01	3.95183e+01	1.53509e-04	9	29
2.99436e+01	4.14112e+01	1.03099e-03	9	32
2.95197e+01	4.20058e+01	6.82615e-06	9	34
3.09238e+03	4.00986e-01	6.91498e-01	10	11
1.38748e+02	8.93704e+00	1.24025e-03	10	13
1.21588e+02	1.01984e+01	8.11100e-03	10	14
9.68358e+01	1.28052e+01	2.12946e-03	10	15
7.80013e+01	1.58972e+01	1.09322e-03	10	17
7.59936e+01	1.63172e+01	1.36667e-02	10	18
6.81824e+01	1.81865e+01	2.33316e-01	10	21
6.61905e+01	1.87338e+01	2.29634e-03	10	23
3.52012e+01	3.52261e+01	1.56011e-04	10	27
3.16189e+01	3.92170e+01	6.57814e-04	10	30
3.11015e+01	3.98694e+01	6.72962e-04	10	31
3.01577e+01	4.11173e+01	9.15819e-04	10	33
2.41652e+01	5.13135e+01	5.40207e-05	10	35
3.55003e+04	3.49293e-02	5.05052e-02	11	12
9.01918e+01	1.37485e+01	1.02954e-03	11	16
7.55951e+01	1.64032e+01	2.58585e-04	11	19
7.27445e+01	1.70460e+01	8.57967e-04	11	20
6.77755e+01	1.82957e+01	3.32246e-01	11	22
4.98170e+01	2.48911e+01	4.86689e-04	11	24
4.07564e+01	3.04247e+01	2.04258e-03	11	25
3.83009e+01	3.23752e+01	1.90401e-06	11	26
3.26835e+01	3.79396e+01	6.39180e-06	11	28
3.24030e+01	3.82681e+01	1.12690e-03	11	29
3.08757e+01	4.01610e+01	1.04538e-03	11	32
3.04253e+01	4.07556e+01	1.15892e-06	11	34
1.45863e+02	8.50113e+00	1.06168e-04	12	13
1.27017e+02	9.76247e+00	5.83874e-04	12	14
1.00248e+02	1.23693e+01	1.23168e-04	12	15
8.02005e+01	1.54613e+01	6.92447e-05	12	17
7.80795e+01	1.58813e+01	2.97877e-04	12	18
